id,hash,ignored,data,files
27,2572541,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,17,18,19,20,21,22,23,24,25,26]"
28,2345568,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,17,18,19,20,21,22,24,25,26]"
29,2141905,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,17,18,19,20,21,22,24,25,26]"
30,7533973,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,17,18,19,20,21,22,24,25,26]"
31,3470180,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,17,18,19,20,21,22,23,24,25,26]"
32,3020351,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,16,17,18,19,20,21,22,23,24,25,26]"
33,2538407,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,16,17,18,19,20,21,22,23,24,25,26]"
34,3251976,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,16,17,18,19,20,21,22,23,24,25,26]"
35,273479,false,,"[0,2,4,1,9,10,14,15,17,18,20,23,24,25]"
36,884823,false,,"[0,2,4,1,9,10,14,17,18,20,24,25]"
37,2500785,false,,"[0,4,9,10]"
38,2107976,false,,[0]
39,1387139,false,,[0]
40,2215430,false,,[0]
41,6937655,false,,[0]
42,1629704,false,,"[0,4,5,9,14,24]"
43,2201672,false,,"[0,4,5,9,14,24]"
44,3677106,false,,"[0,4,5,9,14,24]"
45,1256335,false,,"[0,4,5,9,11,14,24]"
46,2885658,false,,"[0,2,4,1,5,8,9,10,12,14,18,21,23,24,25]"
47,3290973,false,,"[0,2,4,1,5,8,9,10,14,18,24,25]"
48,4618934,false,,"[0,2,4,1,5,8,9,10,12,14,17,18,22,24,25]"
49,6786219,false,,"[0,2,4,1,3,5,8,9,10,12,14,17,18,22,24,25]"
50,4510614,false,,"[0,2,4,1,3,5,7,8,9,10,11,12,14,15,17,18,20,21,22,23,24,25,26]"
51,4115795,false,,"[0,2,4,1,3,5,7,8,9,10,11,12,14,15,17,18,20,21,22,23,24,25,26]"
52,2529596,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,16,17,18,19,20,21,22,23,24,25,26]"
53,3586629,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,16,17,18,19,20,21,22,23,24,25,26]"
54,104480,false,,"[0,4]"
55,782669,false,,"[0,4]"
56,1062460,false,,"[0,4]"
57,2428168,false,,[0]
58,1673478,false,,[0]
59,1058550,false,,"[0,4]"
60,2461992,false,,"[0,4]"
61,6310388,false,,[0]
62,7290212,false,,"[0,10]"
63,7587871,false,,"[0,10]"
64,1111039,false,,"[0,10]"
65,121085,false,,"[0,1,17]"
66,2890161,false,,"[0,17,25]"
67,6291681,false,,[0]
68,4167465,false,,"[0,5]"
69,3388834,false,,[0]
70,1628274,false,,"[0,4,25]"
71,2052583,false,,"[0,4]"
72,4028312,false,,"[0,4,10]"
73,3876559,false,,"[0,4]"
74,1574663,false,,"[0,4]"
75,2609822,false,,"[0,2,4,5,8,10,17,20,25]"
76,2173202,false,,"[0,4,5,9,12,14,17,23]"
77,2186380,false,,"[0,4,9,12,14,17,21]"
78,803652,false,,"[0,4]"
79,2567470,false,,"[0,4]"
80,2438843,false,,"[0,4,5,10]"
81,1474255,false,,"[0,4,5,8,10,14,18,21,25]"
82,1314633,false,,"[0,5]"
83,2628596,false,,"[0,5]"
84,263056,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,16,17,18,19,20,21,22,23,24,25,26]"
85,472691,false,,"[0,2,4,1,3,5,6,7,8,9,10,11,12,14,13,15,16,17,18,19,20,21,22,23,24,25,26]"
86,600481,false,,"[0,2,3,14,17,18,20,21,25]"
87,750672,false,,[0]
88,688769,false,,[0]
89,9933004,false,,[0]
90,775235,false,,[0]
91,1012617,false,,[0]
92,1933801,false,,[0]
93,3811593,false,,[0]
94,5478641,false,,[0]
95,986681,false,,[0]
96,220757,false,,[0]
97,1331316,false,,"[0,4,10]"
98,3083305,false,,"[0,3,8,21,24]"
99,343776,false,,"[0,18]"
100,42071,false,,"[0,4,14,17,18]"
101,1755025,false,,"[0,4,14,17,18]"
102,3155449,false,,"[0,4,17,18]"
103,1437402,false,,"[0,4,10,17,18,21]"
104,4197368,false,,"[0,10]"
105,5591503,false,,"[0,10]"
106,6294533,false,,"[0,2,9,10]"
107,3869325,false,,"[0,9]"
108,1932035,false,,"[0,9]"
