id,hash,ignored,data,files
62,16921654,false,,"[0,1,3,2,4,5,7,6,8,10,11,12,13,16,17,18,19,20,21,24,22,23,25,26,27,28,29,30,31,32,35,36,38,39,40,41,42,44,46,47]"
63,9451451,false,,"[0,3,4,7,8,10,11,12,16,17,19,21,23,25,27,30,31,32,35,39,41,46]"
64,7388189,false,,"[0,3,4,7,8,10,11,12,16,17,19,21,23,25,27,30,31,32,35,39,41,46]"
65,7113858,false,,"[0,3,4,7,8,10,11,12,16,17,19,21,23,25,27,30,31,32,33,35,39,41,46]"
66,4948981,false,,"[0,3,4,7,8,10,11,12,16,17,19,21,23,25,27,30,31,32,33,35,39,41,46]"
67,2219938,false,,"[0,3,4,7,8,10,11,12,14,16,17,19,21,23,25,27,30,31,32,33,35,39,41,43,46]"
68,573080,false,,"[0,3,4,7,8,10,11,12,14,16,17,19,21,23,25,27,30,31,32,33,35,39,41,43,46]"
69,2141629,false,,"[0,3,4,7,8,10,11,12,14,16,17,19,21,23,25,27,30,31,32,33,35,39,41,43,46]"
70,2920801,false,,"[0,3,4,7,8,10,11,12,14,16,17,19,21,23,25,27,30,31,32,33,35,37,39,41,43,46]"
71,4818011,false,,"[0,3,4,7,8,10,11,12,14,16,17,19,21,23,25,27,30,31,32,33,35,37,39,41,43,46]"
72,618010,false,,"[0,3,4,7,8,9,10,11,12,14,16,17,19,21,23,25,27,30,31,32,33,35,37,39,43,45,46]"
73,24077,false,,"[0,3,4,8,9,25,32,33,39,45]"
74,4912065,false,,"[0,3,4,8,32]"
75,5616863,false,,"[0,4,8,27,32,45]"
76,862237,false,,"[0,4,8,32,45]"
77,175884,false,,"[0,4,8,32,45]"
78,1247526,false,,"[0,4,8,45]"
79,2476895,false,,"[0,3,4,8,9,41,45]"
80,2849885,false,,"[0,8]"
81,3346097,false,,"[0,3]"
82,253453,false,,"[0,3]"
83,2196305,false,,"[0,3,4,11,25,41,45]"
84,5373942,false,,[0]
85,5509681,false,,[0]
86,5786337,false,,"[0,4,7,8,21,23,35,37,42,46]"
87,9468793,false,,"[0,7,8,12,19,21,24,25,32,46]"
88,629324,false,,"[0,7,8,12,19,21,24,25,32,46]"
89,582271,false,,"[0,7,8,21,24]"
90,2096342,false,,[0]
91,2577420,false,,[0]
92,814665,false,,[0]
93,5141285,false,,[0]
94,4491703,false,,[0]
95,2090701,false,,[0]
96,1430278,false,,"[0,4,7,11,14,19,23,32,37,39,52,53]"
97,2275280,false,,"[0,4,11,12,14,19,23,30,32,37,39,45]"
98,858052,false,,"[0,4,11,12,14,19,23,27,30]"
99,650559,false,,"[0,1,4,5,7,6,8,12,13,15,19,20,21,24,22,23,25,29,34,35,36,37,42,46,47,50,52]"
100,1159966,false,,"[0,1,4,5,7,6,8,12,13,15,19,21,24,22,23,25,29,34,35,36,46,47,50,52]"
101,2482781,false,,"[0,1,4,5,7,6,8,12,13,19,21,24,22,23,25,29,35,36,46,47,50,52]"
102,1029346,false,,"[0,1,4,7,8,12,13,19,20,21,24,23,25,27,35,40,45,46,47,49,50,52,57]"
103,632608,false,,[0]
104,1203831,false,,"[0,3,2,8,14,26,42]"
105,609168,false,,[0]
106,8414728,false,,"[0,21]"
107,2801514,false,,"[0,1,4,7,8,11,12,13,15,19,21,24,23,25,33,34,35,37,41,42,46,48,50,52]"
108,1659536,false,,[0]
109,4167243,false,,"[0,3,4,7,9,11,12,16,17,19,21,23,33,35,39,41,45,46]"
110,2603936,false,,"[0,3,4,7,8,9,10,11,12,16,17,19,21,23,25,27,30,31,32,33,35,37,39,41,43,45,46]"
111,4252499,false,,"[0,3,4,7,8,9,12,16,17,19,23,25,27,30,31,32,33,35,37,39,41,45,46]"
112,5213451,false,,"[0,3,4,7,8,9,12,14,16,19,23,25,27,30,31,32,33,35,37,39,41,45,46]"
113,9110711,false,,"[0,3,4,8]"
114,8535101,false,,"[0,3,4,8]"
115,7288466,false,,"[0,3,4,8]"
116,1959099,false,,"[0,4,8]"
117,3289089,false,,"[0,8]"
118,917184,false,,"[0,8,11]"
119,187724,false,,"[0,3,8,11,27,30,32]"
120,2608756,false,,"[0,3,8,30]"
121,1003517,false,,"[0,3,8]"
122,786841,false,,"[0,3,8]"
123,556436,false,,[0]
124,1042413,false,,[0]
125,1306423,false,,"[0,9]"
126,172071,false,,"[0,9,45]"
127,317671,false,,"[0,3,8]"
128,2368368,false,,[0]
129,98915,false,,[0]
130,1161996,false,,[0]
131,3240727,false,,[0]
132,131483,false,,[0]
133,2797282,false,,[0]
134,940251,false,,[0]
135,2016247,false,,[0]
136,790915,false,,"[0,30,39]"
137,6625027,false,,"[1,2,5,6,13,18,20,24,22,26,28,29,36,40,42,47]"
138,4905179,false,,"[1,2,5,6,13,18,20,24,22,26,28,29,36,40,42,47]"
139,4254720,false,,"[1,2,5,6,13,18,20,24,22,26,28,29,36,40,42,47]"
140,2297787,false,,"[1,2,5,6,13,18,20,24,22,26,28,29,34,36,40,42,47]"
141,6199691,false,,"[1,5,6,13,18,20,24,22,26,28,29,34,36,40,42,47]"
142,4510614,false,,"[1,3,5,6,8,13,18,20,24,22,26,28,29,34,36,40,42,44,47]"
143,4115795,false,,"[1,3,5,6,8,13,15,18,20,24,22,26,28,29,34,36,38,40,42,44,47]"
144,2529596,false,,"[1,3,5,6,8,13,15,18,20,24,22,26,28,29,34,36,38,40,42,43,44,47]"
145,3586629,false,,"[1,3,5,6,8,13,15,18,20,24,22,26,28,29,34,36,38,40,42,44,47]"
146,3586176,false,,"[1,2,5,6,8,13,15,18,20,24,22,26,28,29,34,36,38,40,42,44,47]"
147,2476690,false,,"[1,2,5,6,8,13,15,18,20,24,22,26,28,29,34,36,38,40,42,44,47]"
148,643,false,,"[1,2,5,6,8,13,15,18,20,24,22,26,28,29,34,36,38,40,42,44,47]"
149,1784309,false,,"[1,18,34,38,40]"
150,1309617,false,,"[1,18,34,38,40]"
151,614193,false,,"[1,34,38,40]"
152,315250,false,,"[1,34,38,40,42]"
153,1263756,false,,"[1,2,8,15,35,42,48,50,56]"
